[['S', 1, 1, 'R', 1], 'UP']
[['S', 1, 1, 'R', 2], 'UP']
[['S', 1, 1, 'R', 3], 'UP']
[['S', 1, 1, 'R', 4], 'UP']
[['S', 1, 2, 'D', 0], 'NONE']
[['S', 1, 2, 'D', 1], 'UP']
[['S', 1, 2, 'D', 2], 'UP']
[['S', 1, 2, 'D', 3], 'UP']
[['S', 1, 2, 'D', 4], 'UP']
[['S', 1, 2, 'R', 0], 'NONE']
[['S', 1, 2, 'R', 1], 'UP']
[['S', 1, 2, 'R', 2], 'UP']
[['S', 1, 2, 'R', 3], 'UP']
[['S', 1, 2, 'R', 4], 'UP']
[['S', 1, 3, 'D', 0], 'NONE']
[['S', 1, 3, 'D', 1], 'UP']
[['S', 1, 3, 'D', 2], 'UP']
[['S', 1, 3, 'D', 3], 'UP']
[['S', 1, 3, 'D', 4], 'UP']
[['S', 1, 3, 'R', 0], 'NONE']
[['S', 1, 3, 'R', 1], 'UP']
[['S', 1, 3, 'R', 2], 'UP']
[['S', 1, 3, 'R', 3], 'UP']
[['S', 1, 3, 'R', 4], 'UP']
[['S', 2, 0, 'D', 0], 'NONE']
[['S', 2, 0, 'D', 1], 'GATHER']
[['S', 2, 0, 'D', 2], 'GATHER']
[['S', 2, 0, 'D', 3], 'GATHER']
[['S', 2, 0, 'D', 4], 'GATHER']
[['S', 2, 0, 'R', 0], 'NONE']
[['S', 2, 0, 'R', 1], 'GATHER']
[['S', 2, 0, 'R', 2], 'GATHER']
[['S', 2, 0, 'R', 3], 'GATHER']
[['S', 2, 0, 'R', 4], 'GATHER']
[['S', 2, 1, 'D', 0], 'NONE']
[['S', 2, 1, 'D', 1], 'GATHER']
[['S', 2, 1, 'D', 2], 'GATHER']
[['S', 2, 1, 'D', 3], 'GATHER']
[['S', 2, 1, 'D', 4], 'GATHER']
[['S', 2, 1, 'R', 0], 'NONE']
[['S', 2, 1, 'R', 1], 'GATHER']
[['S', 2, 1, 'R', 2], 'GATHER']
[['S', 2, 1, 'R', 3], 'GATHER']
[['S', 2, 1, 'R', 4], 'GATHER']
[['S', 2, 2, 'D', 0], 'NONE']
[['S', 2, 2, 'D', 1], 'GATHER']
[['S', 2, 2, 'D', 2], 'GATHER']
[['S', 2, 2, 'D', 3], 'GATHER']
[['S', 2, 2, 'D', 4], 'GATHER']
[['S', 2, 2, 'R', 0], 'NONE']
[['S', 2, 2, 'R', 1], 'GATHER']
[['S', 2, 2, 'R', 2], 'GATHER']
[['S', 2, 2, 'R', 3], 'GATHER']
[['S', 2, 2, 'R', 4], 'GATHER']
[['S', 2, 3, 'D', 0], 'NONE']
[['S', 2, 3, 'D', 1], 'UP']
[['S', 2, 3, 'D', 2], 'GATHER']
[['S', 2, 3, 'D', 3], 'GATHER']
[['S', 2, 3, 'D', 4], 'GATHER']
[['S', 2, 3, 'R', 0], 'NONE']
[['S', 2, 3, 'R', 1], 'GATHER']
[['S', 2, 3, 'R', 2], 'GATHER']
[['S', 2, 3, 'R', 3], 'GATHER']
[['S', 2, 3, 'R', 4], 'GATHER']
[['C', 0, 0, 'D', 0], 'NONE']
[['C', 0, 0, 'D', 1], 'HIT']
[['C', 0, 0, 'D', 2], 'HIT']
[['C', 0, 0, 'D', 3], 'HIT']
[['C', 0, 0, 'D', 4], 'HIT']
[['C', 0, 0, 'R', 0], 'NONE']
[['C', 0, 0, 'R', 1], 'HIT']
[['C', 0, 0, 'R', 2], 'HIT']
[['C', 0, 0, 'R', 3], 'HIT']
[['C', 0, 0, 'R', 4], 'HIT']
[['C', 0, 1, 'D', 0], 'NONE']
[['C', 0, 1, 'D', 1], 'SHOOT']
[['C', 0, 1, 'D', 2], 'HIT']
[['C', 0, 1, 'D', 3], 'HIT']
[['C', 0, 1, 'D', 4], 'HIT']
[['C', 0, 1, 'R', 0], 'NONE']
[['C', 0, 1, 'R', 1], 'SHOOT']
[['C', 0, 1, 'R', 2], 'HIT']
[['C', 0, 1, 'R', 3], 'HIT']
[['C', 0, 1, 'R', 4], 'HIT']
